Facil ID,Building,Room,Descr,Short Desc
3P 104,3P,104,Crown Prov 104,3P 104
4A 002,4A,002,Merrill Acad 002,4A 002
4A 003,4A,003,Merrill Acad 003,4A 003
4A 102,4A,102,Merrill Acad 102,4A 102
4A 130,4A,130,Merrill Acad 130,4A 130
4A 132,4A,132,Merrill Acad 132,4A 132
4A 134,4A,134,Merrill Acad 134,4A 134
4B 112A,4B,112A,Merrill Baobab 112A,4B 112A
4E 100,4E,100,Ch Merr Rm 100,4E 100
4H 108,4H,108,MingOng Cmp Lb 108,4H 108
4L 300,4L,300,Casa Latina 300,4L 300
4P 001,4P,001,Merrill Prov 001,4P 001
5A 107,5A,107,Porter Acad 107,5A 107
5A 132,5A,132,Porter Acad 132,5A 132
5A 134,5A,134,Porter Acad 134,5A 134
5A 140,5A,140,Porter Acad 140,5A 140
5A 144,5A,144,Porter Acad 144,5A 144
5A 148,5A,148,Porter Acad 148,5A 148
5A 222,5A,222,Porter Acad 222,5A 222
5A 236,5A,236,Porter Acad 236,5A 236
5A 240,5A,240,Porter Acad 240,5A 240
5A 241,5A,241,Porter Acad 241,5A 241
5A 245,5A,245,Porter Acad 245,5A 245
5A 248,5A,248,Porter Acad 248,5A 248
5A 249,5A,249,Porter Acad 249,5A 249
5D 001,5D,001,Porter Din 001,5D 001
5D 002,5D,002,Porter Din 002,5D 002
